id	parent_component_id	component_id	desscription	type_id	level_id	template_type_id	creator_id	component_picture_url	background_color	created_at	updated_at	privacy_id	order	status
1	NULL	1		11	30001	7001	2	apartment-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	10001	0
2	NULL	2		101	30001	7001	18	spanish.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
3	NULL	3		102	30001	7001	4	800201.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	10001	0
4	62	4		11	30001	7001	2	spanish.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	10011	0
5	7	5		11	30001	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
6	NULL	6		11	30001	7001	2	fashion.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	10001	0
7	NULL	7		11	30001	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	100000	0
8	NULL	8		11	30001	7001	1	leadership.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	40000	0
9	22	9		11	30001	7001	1	accent.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	11000	0
10	NULL	10		11	30001	7001	2	2081.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
11	NULL	11		11	30001	7001	2	2080.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
12	NULL	12		101	30001	7001	14	500010.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
13	NULL	13		11	30001	7001	2	2091.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
14	7	14		11	30001	7001	1	2092.png	md-yellow-50-bg	0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
15	7	15		11	30001	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
16	7	16		11	30001	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
17	7	17		11	30001	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
18	NULL	18		11	30001	7001	1	communication-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
19	16	19		21002	30001	7001	3	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
20	NULL	20		11	30001	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
21	22	21		11	30001	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
22	NULL	22		11	30001	7001	1	2092.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
23	24	23		101	30001	7001	7	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	1
24	NULL	24		11	30001	7001	2	apartment.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	10001	0
25	NULL	25		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
26	NULL	26		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
27	NULL	27		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
28	34	28		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
29	NULL	29		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
30	NULL	30		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
31	NULL	31		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
32	9	32		11	30001	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
33	NULL	33		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
34	31	34		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
35	8	35		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
36	NULL	36		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
37	31	37		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
38	24	38		101	30001	7001	7	apartment-1.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
39	NULL	39		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
40	NULL	40		101	30001	7001	14	500004.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
41	NULL	41		11	30001	7001	3	swimming.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
42	3	42		101	30001	7001	4	500003.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
43	NULL	43		11	30001	7001	2	2088.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
44	NULL	44		101	30001	7001	2	500009.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
45	NULL	45		11	30001	7001	2	2084.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
46	3	46		11	30001	7001	2	interview.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
47	24	47		101	30001	7001	3	500006.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	1
48	NULL	48		11	30001	7001	2	2090.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
49	NULL	49		11	30001	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
50	NULL	50		11	30001	7001	2	2085.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
51	NULL	51		11	30001	7001	2	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
52	NULL	52		21002	30001	7001	2	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
53	NULL	53		21002	30001	7001	5	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
54	NULL	54		11	30001	7001	2	2083.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
55	NULL	55		11	30001	7001	2	2087.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
56	NULL	56		11	30001	7001	2	communication.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
57	NULL	57		101	30001	7001	7	500000.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
58	24	58		101	30001	7001	5	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	1
59	24	59		101	30001	7001	7	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	1
60	24	60		101	30001	7001	3	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	1
61	24	61		101	30001	7001	7	500002.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	1
62	NULL	62		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
63	NULL	63		11	30001	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
64	NULL	64		11	30001	7001	2	2089.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
65	NULL	65		11	30001	7001	2	adventurous.jpg		0000-00-00 00:00:00	0000-00-00 00:00:00	10001	1	0
66	NULL	66		11	30001	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
67	NULL	67		11	30001	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
68	NULL	68		11	30001	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
69	NULL	69		11	30001	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
70	NULL	70		11	30001	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
71	NULL	71		12	30001	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	10002	1	0
